titulo,autores,anio,Línea prioritaria de investigación ECAP,tipo,estado,latitud,longitud,resumen,presupuesto
Evaluación de la variabilidad espacio temporal del índice de calidad del agua (ISQA) de los ríos Antisana y Jatunhuayco ubicados en el páramo del Antisana pertenecientes al proyecto La Mica-Quito Sur en el año 2025,Roberto Antonio Tarabata Andrango,2025,Hidrología,Apoyo a investigacion,En curso,-0.483109,-78.230424,"El plan de titulación busca evaluar la variabilidad espacial y temporal del índice de calidad del agua ISQA en los ríos Antisana y Jatunhuayco, del sistema La Mica-Quito Sur, durante 2025. Propone campañas de tres meses para medir parámetros físicos y químicos, calcular el índice y comparar sitios y fechas. Se esperan valores de ISQA, un diagnóstico de variabilidad y una línea base para el seguimiento y manejo de estas fuentes de agua.",
Modelación de la dinámica térmica y del oxígeno disuelto en el embalse de Páramo Salve Faccha mediante CE-QUAL-W2,Ana Lizeth Juma Anrango; Camila Johanna Muñoz Arroba,2025,Manejo de embalses,Apoyo a investigacion,En curso,-0.230342,-78.152424,"El perfil plantea modelar la dinámica térmica y del oxígeno disuelto del embalse Salve Faccha con CE-QUAL-W2. Integrará información meteorológica, hidrológica, morfométrica y de calidad de agua, y prevé calibrar y validar el modelo con indicadores como RMSE, MAE y R². El producto esperado es una simulación de perfiles y variaciones espacio-temporales de temperatura y oxígeno para identificar condiciones críticas de gestión del embalse.",
"Modelización del balance hídrico en la cuenca hidrográfica Jatunhuayco de la laguna La Mica, a fin de establecer una propuesta de gestión integrada para la conservación hidrográfica",Erika Tatiana Guzmán Cuascota; Diego David Usiña Freire,2025,Hidrología,Apoyo a investigacion,En curso,-0.483445,-78.235714,"El avance propone modelar el balance hídrico de la cuenca Jatunhuayco y la laguna La Mica para sustentar una gestión integrada de conservación. Reunirá datos de precipitación, caudales, evapotranspiración, almacenamiento y cobertura, con análisis espacial y herramientas como Google Earth Engine. Se esperan estimaciones de disponibilidad y déficit, identificación de componentes críticos y una propuesta de manejo para conservar la función hidrográfica de la cuenca.",
Modelo hidrológico de validación de la representatividad de cobertura de estaciones hidrometeorológicas en las fuentes de abastecimiento del embalse La Mica-Quito Sur,Carlos Andrés Ramos Durán,2025,Hidrología,Apoyo a investigacion,En curso,-0.539739,-78.225229,"El plan propone validar si la cobertura de estaciones hidrometeorológicas representa adecuadamente las fuentes de abastecimiento del embalse La Mica-Quito Sur. Considera control y completado de series, análisis exploratorio, interpolación Kriging e IDW, y contraste con limnimetría y aforos de campo en Antisana y Jatunhuaycu. Se esperan mapas de representatividad, evaluación de incertidumbre y recomendaciones para mejorar la red y los insumos de modelación hidrológica.",
A kernel-based strategy to design Convolutional Neural Network Architecture for learning spatial and temporal representation of weather variables,Juan Fernando González Vergara,2021,Cambio climático y global,Apoyo a investigacion,Finalizado,-0.205461,-78.495872,"El artículo desarrolló una estrategia basada en kernels para diseñar arquitecturas de redes neuronales convolucionales que aprendan representaciones espaciales y temporales de variables meteorológicas. Usó datos de dos estaciones, análisis de correlación, PCA y RReliefF, y comparó SVM, CNN y LSTM en clasificación, regresión y pronóstico inmediato. RReliefF superó a PCA para seleccionar variables, aunque el conjunto completo estandarizado produjo los mejores desempeños de predicción.",
"Análisis de diferentes medios y condiciones de cultivo en la composición del fitoplancton, con énfasis en cianobacterias",Ana Gabriela Ortega Montero,2024,Ecología de páramo,Apoyo a investigacion,Finalizado,-0.181659,-78.484579,"El trabajo evaluó cómo diferentes medios y condiciones de cultivo modifican la composición del fitoplancton, con énfasis en cianobacterias. Ensayó BG11 y BG110 en presentaciones líquida, sólida y semisólida, bajo distintas condiciones de incubación, e identificó los géneros desarrollados. En BG11 sólido y semisólido se registraron 11 géneros, mientras que BG110, sin nitrógeno, no favoreció el crecimiento esperado; los resultados orientan el aislamiento y monitoreo del fitoplancton.",
Análisis de la concentración y distribución espacial de parámetros físicos en el embalse Salve Faccha,Edison Javier Jácome Alarcón; Karen Elisa Velásquez Moreta,2018,Manejo de embalses,Apoyo a investigacion,Finalizado,-0.2326333000,-78.1568000000,"El trabajo analizó la concentración y distribución espacial de parámetros físicos en el embalse Salve Faccha con registros de 2002 a 2016 y campañas de campo. Procesó temperatura, oxígeno disuelto, conductividad, sólidos, pH y turbidez mediante perfiles, isolíneas y representaciones tridimensionales. Identificó un comportamiento térmico cíclico, periodos de mayor calentamiento y estratificación, y condiciones de bajo oxígeno en profundidad asociadas al consumo de oxígeno.",
Análisis de las variaciones morfométricas y batimétricas del embalse La Mica para el período 2007-2018,Andrés Felipe Jordán Carrión; Dayanna Lissette López Armijos,2019,Manejo de embalses,Apoyo a investigacion,Finalizado,-0.544107,-78.227424,"El estudio comparó la morfometría y batimetría del embalse La Mica entre 2007 y 2018. Levantó datos de profundidad, generó mapas y curvas nivel-volumen, y contrastó los interpoladores vecino natural y TIN para representar el fondo. Actualizó los parámetros físicos del embalse y encontró errores medios cuadrados muy cercanos en ambos métodos, aportando información para la operación, el seguimiento y la evaluación trófica.",
Análisis in vitro del crecimiento de microalgas del fitoplancton en diferentes medios de cultivo y condiciones de incubación,Cecilia Coralía Núñez Alberca,2024,Ecología de páramo,Apoyo a investigacion,Finalizado,-0.180822,-78.482612,"El estudio analizó el crecimiento in vitro de microalgas del fitoplancton bajo diferentes medios y condiciones de incubación. Comparó BBM y Nitrofoska, fotoperiodos, rangos de pH y presencia de aireación, evaluando los taxones cultivados. El medio BBM, pH de 7 a 9, fotoperiodo 18:6 y aireación favorecieron el crecimiento, y se distinguieron microorganismos más resistentes para seleccionar condiciones de cultivo y apoyar el monitoreo de embalses.",
Análisis probabilístico de la variabilidad espacio-temporal del humedal Pugllohuma utilizando imágenes radar de apertura sintética de la misión Sentinel-1,Paul David Carchipulla Morales,2020,Ecología de páramo,Apoyo a investigacion,Finalizado,-0.5022230000,-78.2140270000,"El trabajo analizó la variabilidad espacio-temporal del humedal Pugllohuma mediante imágenes radar Sentinel-1 y modelos probabilísticos. Integró información SAR con variables topográficas y climáticas para estimar condiciones de saturación y evaluar sus controladores. La variación temporal se relacionó principalmente con el día del año, la temperatura y la precipitación, mientras la elevación explicó la distribución espacial; otras variables atmosféricas mejoraron la capacidad predictiva.",
Application of Neural Network Models and ANFIS for Water Level Forecasting of the Salve Faccha Dam in the Andean Zone in Northern Ecuador,Pablo Páliz Larrea; Xavier Zapata-Ríos; Lenin Campozano Parra,2021,Manejo de embalses,Apoyo a investigacion,Finalizado,-0.231683,-78.155398,"El artículo evaluó redes neuronales y ANFIS para pronosticar el nivel diario del embalse Salve Faccha. Probó horizontes de uno a seis días, selección de variables, retardos temporales y configuraciones de los modelos con datos hidrometeorológicos. La red neuronal mostró buen desempeño con hasta 13 retardos y menos de 30 nodos, mientras ANFIS obtuvo resultados comparables hasta cuatro días de anticipación.",
Calibración de sensores de humedad del suelo con validación de campo: calibración sensor de humedad de suelo M5028,Sebastián Ramiro Proaño Ordóñez,2024,Hidrología,Apoyo a investigacion,Finalizado,-0.4833090000,-78.3907140000,"El estudio calibró el sensor de humedad de suelo M5028 y validó su desempeño en campo. Caracterizó el suelo en laboratorio, relacionó contenido volumétrico de agua y permitividad eléctrica, y comparó la curva resultante con datos históricos de la estación. La ecuación de calibración concordó con las mediciones de laboratorio y campo, por lo que puede sustituir la ecuación de Topp, que subestimó el contenido volumétrico de agua en esa estación.",
Caracterización de parámetros morfológicos y germinativos de semillas de Calceolaria crenata Lam. en Bosques Andinos del Ecuador,Sophia Alejandra Polit Ramos,2025,Restauración de la cobertura vegetal,Apoyo a investigacion,Finalizado,-0.3068333333,-78.2322500000,"El estudio caracterizó parámetros morfológicos y germinativos de semillas de Calceolaria crenata recolectadas en el Área de Protección Hídrica Ponce Paluguillo. Midió atributos de frutos y semillas y aplicó pruebas de viabilidad con tetrazolio, desinfección y germinación in vitro. La viabilidad más alta alcanzó 94 %, y el tratamiento con ácido giberélico, 25 °C y fotoperiodo 16:8 logró 29,62 % de germinación, con insumos para conservación en banco de semillas.",
Caracterización de parámetros morfológicos y germinativos de semillas de Solanum colombianum Dunal en Bosques Andinos del Ecuador,Heidy Leonela Haro Pilco,2025,Restauración de la cobertura vegetal,Apoyo a investigacion,Finalizado,-0.3081540000,-78.2317350000,"El estudio caracterizó semillas de Solanum colombianum de bosques andinos del Ecuador para apoyar su conservación y propagación. Evaluó frutos y semillas con mediciones morfológicas, pruebas de viabilidad con tetrazolio, desinfección y ensayos de germinación in vitro. Documentó los atributos de las semillas y su respuesta a los tratamientos, generando una base para bancos de germoplasma, propagación y posteriores acciones de restauración.",
Caracterización de principios activos del género Hypochaeris mediante técnicas analíticas en Bosques Andinos del Ecuador,Louisana Del Pilar Paillacho Duque,2025,Ecología de páramo,Apoyo a investigacion,Finalizado,-0.3063512611,-78.2315623500,"El estudio caracterizó principios activos de Hypochaeris en bosques andinos del Ecuador a partir de raíces, hojas y flores de H. sessiliflora recolectada en Ponce Paluguillo. Aplicó maceración con distintos solventes, cromatografía en capa fina y reacciones colorimétricas. El etanol al 99,5 % mostró el mejor desempeño de extracción y se registraron bandas asociadas a diversos metabolitos; se recomiendan técnicas instrumentales complementarias para confirmar la identidad de los compuestos.",
Caracterización de principios activos del género Polylepis mediante técnicas analíticas en Bosques Andinos del Ecuador,Luis Esteban Cuichan Cuichan,2025,Ecología de páramo,Apoyo a investigacion,Finalizado,-0.308726,-78.232961,"El estudio caracterizó principios activos de Polylepis en bosques andinos a partir de material recolectado en Ponce Paluguillo. Realizó extracción por maceración y separación mediante cromatografía en capa fina, complementada con reveladores para reconocer grupos de metabolitos. El extracto etanólico produjo señales útiles para diferenciar compuestos y la cromatografía separó fracciones; se recomiendan análisis instrumentales posteriores para confirmar su identidad.",
Caracterización fenotípica de microalgas y cianobacterias del fitoplancton de los embalses Succus y Mogotes,Johana Elizabeth Tipanta Betancourt,2022,Manejo de embalses,Apoyo a investigacion,Finalizado,-0.258947,-78.149738,"El estudio caracterizó fenotípicamente el fitoplancton de los embalses Succus y Mogotes durante una temporada seca, ambos fuentes de agua para el Distrito Metropolitano de Quito. Realizó muestreos puntuales y estratificados, identificación microscópica y análisis de bioindicadores de estado trófico. Registró 30 taxones en Succus y 39 en Mogotes, dejando una línea base de biodiversidad y monitoreo; recomienda campañas de al menos seis meses para evaluar abundancia, dominancia y migración.",
"Caracterización fenotípica de microalgas y cianobacterias del perifiton de los ríos aportantes del embalse altoandino Mogotes (Parque Nacional Cayambe-Coca), Ecuador",Emilio Rafael Jarre Saltos,2022,Manejo de embalses,Apoyo a investigacion,Finalizado,-0.276449,-78.141773,"El trabajo caracterizó microalgas y cianobacterias del perifiton de ríos aportantes al embalse altoandino Mogotes, en el Parque Nacional Cayambe-Coca. Aplicó muestreo de perifiton, identificación microscópica y análisis de estos organismos como indicadores de condición trófica. Produjo un inventario de taxones y rasgos ecológicos asociados, útil como línea base para vigilar la calidad del agua, y recomienda ampliar el monitoreo temporal para captar la variabilidad de las comunidades.",
Caracterización fenotípica de microalgas y cianobacterias del perifiton de los ríos aportantes del embalse Succus,Kimberly Elizabeth Guapi Albán,2022,Manejo de embalses,Apoyo a investigacion,Finalizado,-0.243613,-78.160842,"El trabajo caracterizó microalgas y cianobacterias del perifiton de ríos aportantes al embalse Succus mediante muestreos y observación microscópica, relacionando los taxones con el estado trófico. Identificó rasgos funcionales de adhesión, producción de mucílago y fijación de nitrógeno; 53,85 % de los taxones presentó al menos una de estas adaptaciones. El estudio generó una línea base de bioindicadores y recomendó ampliar el monitoreo para interpretar la dinámica del embalse.",
Caracterización hidrogeológica con determinación de la conductividad hidráulica del humedal Pugllohuma,Myriam Nathaly Yugsi Zambrano,2018,Hidrogeología,Apoyo a investigacion,Finalizado,-0.5020345628,-78.2144601625,"El estudio caracterizó hidrogeológicamente el humedal Pugllohuma, en la Reserva Hídrica Antisana, y estimó su almacenamiento de agua y conductividad hidráulica. Integró datos de estaciones FONAG, EPMAPS e INAMHI, cartografía geológica, balance hídrico y ensayos de infiltración de doble anillo. Determinó una precipitación media anual de 752,6 mm, morfología casi plana y escurrimiento lento que favorece la infiltración, resultados que respaldan su conservación y restauración.",
"Caracterización hidrogeológica de las microcuencas 1, 2 y 3 de la unidad hídrica Jatunhuaycu",Henry Santiago Játiva Varela,2018,Hidrogeología,Apoyo a investigacion,Finalizado,-0.4666296808,-78.2318225486,"El estudio caracterizó hidrogeológicamente las microcuencas 1, 2 y 3 de la unidad hídrica Jatunhuaycu. Integró cartografía geológica, inventario de puntos de agua, datos meteorológicos e hidrológicos, análisis físico-químicos y balance hídrico para construir un modelo conceptual. Identificó zonas de recarga y descarga y estimó condiciones de funcionamiento de las microcuencas, generando una base técnica para su manejo y conservación.",
Caracterización hidrogeológica en el área de conservación hídrica Ponce Paluguillo,Hernán Michael Núñez Zambrano,2019,Hidrogeología,Apoyo a investigacion,Finalizado,-0.3432542589,-78.2174519969,"El estudio caracterizó la hidrogeología del Área de Conservación Hídrica Ponce Paluguillo mediante cartografía geológica y de permeabilidad, inventario de fuentes, análisis hidroquímicos y datos de precipitación. Elaboró un modelo conceptual para explicar la circulación, recarga y descarga en la subcuenca Carihuaycu. Identificó unidades geológicas y zonas funcionales de agua subterránea, aunque sus estimaciones son una referencia inicial por la escasez de ensayos y parámetros locales.",
Caracterización molecular de Polylepis racemosa Ruiz and Pav. y Polylepis incana Kunth. mediante marcadores moleculares en Bosques Andinos del Ecuador,Angie Vanessa Pinzón Ordóñez,2025,Ecología de páramo,Apoyo a investigacion,Finalizado,-0.3066666667,-78.2330555556,"El estudio caracterizó molecularmente Polylepis racemosa y P. incana mediante extracción de ADN, PCR y evaluación de los marcadores matK, ITS y rbcL. Comparó protocolos de extracción y tamaños de amplicones para definir su utilidad taxonómica. CTAB 2X proporcionó ADN de mayor pureza; matK mostró baja diferenciación entre especies, rbcL no amplificó e ITS estuvo condicionado por la poliploidía, por lo que se recomienda clonación y secuenciación de alelos.",
"Cuantificación de carbono en el suelo del Bosque Siempreverde y el Herbazal del Páramo del Área de Conservación Hídrica Paluguillo (Pifo, Pichincha)",Chaquira Camila Romoleroux Cajas,2019,Cambio climático y global,Apoyo a investigacion,Finalizado,-0.310334,-78.231302,"El estudio cuantificó carbono en suelos de herbazal de páramo y bosques de Polylepis pauta y P. incana del Área de Conservación Hídrica Paluguillo, Pifo. Determinó porcentaje de carbono, densidad aparente y densidad de carbono para establecer una línea base de reservas. Encontró diferencias significativas entre coberturas y mayor porcentaje de carbono en los primeros 20 cm del suelo, resultados que sustentan restauración, reforestación y conservación.",945
"De los páramos a la urbe: historia ambiental, fuentes de agua y gobernanza más que humana para la ciudad de Quito, Ecuador",Radamés Villagómez-Reséndiz,2025,Análisis Socioeconómicos y Ambientales,Apoyo a investigacion,Finalizado,-0.180734,-78.467926,"El artículo reconstruyó la transición de las políticas de agua de Quito desde antecedentes coloniales y republicanos, la hidráulica municipal y la gestión integrada, hasta formas recientes de gobernanza ambiental. Mediante análisis de discursos, corpus legales e historia ambiental de larga duración, examinó las relaciones entre infraestructura, agua y páramo en la hoya de Guayllabamba. Concluyó que FONAG articula conservación hídrica y ambiental y constituye un referente de política pública y gobernanza.",
Desarrollo de una metodología para la evaluación de saturación del humedal Pugllohuma mediante el uso de UAVs,Gabriela Alejandra Espinel Enríquez,2019,Ecología de páramo,Apoyo a investigacion,Finalizado,-0.5010939673,-78.2131328170,"El estudio desarrolló una metodología para evaluar la saturación del humedal Pugllohuma mediante vehículos aéreos no tripulados. Generó un modelo de microtopografía a partir de 2.950 imágenes de un UAV de ala fija, con resolución aproximada de 6 cm, y lo contrastó con información de campo y satelital. Estimó un área de 174.330 m² y una pendiente media de 3,3 %, y dejó un procedimiento reproducible para monitorear condiciones de saturación.",
Determinación de zonas de amenaza de inundación en caso de falla de una presa de gravedad de hormigón mediante análisis probabilístico y modelación hidrológica e hidráulica. Caso de estudio: Presa Rumilona ubicada en la ciudad de Quito,Diana Guerra; Jairo Tapia,2025,Manejo de embalses,Apoyo a investigacion,Finalizado,-0.160183,-78.524283,"El estudio delimitó zonas de amenaza por inundación ante una falla de la presa de gravedad Rumilona, en Quito. Combinó análisis probabilístico de lluvias con periodos de retorno, modelación hidrológica HEC-HMS y simulación hidráulica de rotura con HEC-RAS y McBreach. Los escenarios generaron caudales pico superiores a 300 m³/s y mostraron alta exposición de áreas urbanas cercanas a la presa, información útil para gestión del riesgo y planes de emergencia.",
Establecimiento in vitro de Draba obovata Benth. con miras a procesos de restauración ecológica en el Área de Conservación Hídrica Antisana,Andrea Estefanía Cañadas Rivadeneira,2022,Restauración de la cobertura vegetal,Apoyo a investigacion,Finalizado,-0.4813888889,-78.1408333333,"El estudio estableció un protocolo in vitro para Draba obovata orientado a la restauración ecológica en el Área de Conservación Hídrica Antisana. Probó tratamientos de desinfección, germinación y regulación de crecimiento en medio MS. El uso de detergente al 2 %, etanol al 70 % e hipoclorito de sodio al 2,5 % evitó contaminación y oxidación; el medio MS con sacarosa logró 86,67 % de germinación y BAP más AIA promovió la mayor proliferación de brotes.",
Establecimiento in vitro de Werneria nubigena Kunth con miras a procesos de restauración ecológica en el Área de Conservación Hídrica Antisana,Karol Denisse Balseca Campaña,2022,Restauración de la cobertura vegetal,Apoyo a investigacion,Finalizado,-0.4817368783,-78.2325740712,"El trabajo desarrolló un protocolo de establecimiento in vitro de Werneria nubigena con fines de restauración ecológica en el Área de Conservación Hídrica Antisana. Evaluó desinfección, germinación y medios de cultivo a partir de semillas. El tratamiento con detergente al 2 %, etanol al 75 % y cloro al 6 % logró ausencia de contaminación y 50 % de germinación; la remoción de la testa y el medio MS suplementado con AG3 mejoraron la respuesta germinativa.",
Estimación del impacto de los incendios en las propiedades físico-químicas e hidrológicas del suelo de páramo mediante trabajo experimental,Jefferson Armando Avellaneda Espinel,2021,Ecología de páramo,Apoyo a investigacion,Finalizado,-0.3412841552,-78.6179926875,"El estudio estimó los efectos del fuego sobre propiedades físico-químicas e hidrológicas de suelos de páramo mediante experimentos con bloques de suelo y comparación entre muestras quemadas y no quemadas. Midió humedad, temperatura, escorrentía, percolación, nutrientes y balance hídrico en el contexto del incendio de 2018 en el cerro Atacazo. La quema experimental no varió el contenido volumétrico de agua durante el evento y el balance de la muestra quemada mostró predominio de escorrentía.",4711.73
Estudio de la diversidad genética de Polylepis racemosa Ruiz & Pav. y Polylepis incana Kunth. mediante marcadores moleculares en Bosques Andinos del Ecuador,Lisbeth Elizabeth Cuenca Chasi,2025,Ecología de páramo,Apoyo a investigacion,Finalizado,-0.3055555556,-78.2316666667,"El trabajo estudió la diversidad genética de Polylepis racemosa y P. incana en bosques andinos del Ecuador mediante extracción de ADN, PCR con marcadores ISSR y análisis de agrupamiento, coordenadas principales y AMOVA. El protocolo CTAB modificado permitió obtener ADN de calidad. Se registró 73,87 % de bandas polimórficas y tres agrupaciones genéticas, con alta diferenciación y bajo flujo génico, resultados útiles para orientar la conservación de las poblaciones.",
Estudio de la evolución del nivel de trofía del embalse Mogotes (1997-2018),Jhonatan Gustavo Cevallos Rodríguez; Cristina Vanessa Pozo Landa,2020,Manejo de embalses,Apoyo a investigacion,Finalizado,-0.2750565557,-78.1394944788,"El estudio examinó la evolución del nivel de trofía del embalse Mogotes entre 1997 y 2018. Actualizó la batimetría mediante transectos y mediciones con RiverSurveyor M9, y contrastó información histórica y actual de clorofila, nutrientes, turbidez y variables fisicoquímicas. Integró estos indicadores para describir el estado trófico y su cambio temporal, dejando una referencia para el monitoreo del embalse altoandino.",
Evaluación de la concentración y distribución espacial de nutrientes en el embalse La Mica,Juan Gabriel Enríquez Guerrero; Máximo Israel Poma Quijije,2019,Manejo de embalses,Apoyo a investigacion,Finalizado,-0.5430748283,-78.2259230203,"El trabajo evaluó la concentración y distribución de nitrito, nitrato, nitrógeno amoniacal y ortofosfato en el embalse La Mica. Integró registros de 1997 a 2016 con muestreos de campo, perfiles verticales e isolíneas para analizar cambios estacionales y espaciales. Encontró variación de nutrientes según época y ubicación, con mayores concentraciones de varios parámetros entre mayo y julio, y generó una base de comparación para el monitoreo de calidad y estado trófico.",
Evaluación de la concentración y distribución espacial de nutrientes en el embalse Salve Faccha,Adrián Alejandro Anchundia Samaniego; Katerinne Micaela Vergara Estrada,2018,Manejo de embalses,Apoyo a investigacion,Finalizado,-0.2290646358,-78.1541545018,"El estudio evaluó nutrientes en el embalse Salve Faccha mediante registros históricos de 2002 a 2016, mediciones de campo y perfiles verticales de nitrito, nitrato, nitrógeno amoniacal y ortofosfato. Elaboró isolíneas y mapas para comparar la variación temporal y espacial. Identificó zonas de mayor concentración y episodios inusuales en la serie, proporcionando una base para seguir la calidad del agua y los procesos de enriquecimiento de nutrientes del embalse.",
Evaluación de la eficiencia de tres activadores biológicos aplicados a pilas de compostaje ubicadas en la comunidad de San Francisco de Cruz Loma,Gianni Carolina Défaz Visuete; Henry Alejandro Gualoto Simbaña,2020,Análisis Socioeconómicos y Ambientales,Apoyo a investigacion,Finalizado,-0.1823417901,-78.5375824471,"El estudio evaluó tres activadores biológicos aplicados a pilas de compostaje en la comunidad de San Francisco de Cruz Loma. Comparó suero, fermento de alfalfa y microorganismos eficientes autóctonos con controles, y monitoreó temperatura, pH, humedad y madurez en 12 pilas. El seguimiento permitió contrastar la eficiencia de los tratamientos y registró compost maduro a las 15 semanas, aportando una alternativa de aprovechamiento de residuos orgánicos comunitarios.",
